AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),Input,NodeList,EDP
0.0,288,18,265352.0,1052.0,1052.0,265352.0,0.0,0.0,0.0,0.0,15.0,0,0.0,0.0,1n-1m-16th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493257.0,1,16,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1716.63,639.35,2355.98,100.98,37.61,138.59,138.59,17.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,42407.64
0.0,288,18,265352.0,1060.0,1060.0,265352.0,0.0,0.0,0.0,0.0,17.0,0,0.0,0.0,1n-1m-16th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493259.0,1,16,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1727.27,648.13,2375.4,101.6,38.13,139.73,139.73,17.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,42757.200000000004
0.0,288,18,265352.0,1052.0,1052.0,265352.0,0.0,0.0,0.0,0.0,22.0,0,0.0,0.0,1n-1m-16th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493261.0,1,16,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1704.98,639.03,2344.02,100.29,37.59,137.88,137.88,17.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,42192.36
0.0,304,19,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,25.0,0,0.0,0.0,1n-1m-16th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493263.0,1,16,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1775.3,664.38,2439.68,104.43,39.08,143.51,143.51,17.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,46353.92
2380.0,2672,167,2051856.0,146012.0,146012.0,2051856.0,2170.88,4648.96,2170.88,4648.96,27.0,0,14.0,14.0,1n-1m-16th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493265.0,1,16,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,18847.83,6933.14,25780.97,113.54,41.77,155.31,155.31,166.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4305421.99
2382.0,2672,167,2046144.0,149924.0,149924.0,2046144.0,2170.88,4648.96,2170.88,4648.96,2.0,0,5.0,5.0,1n-1m-16th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493268.0,1,16,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,18819.94,6942.77,25762.7,113.37,41.82,155.2,155.2,166.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4302370.9
2382.0,2688,168,2051708.0,147848.0,147848.0,2051708.0,2160.64,4648.96,2160.64,4648.96,4.0,0,7.0,7.0,1n-1m-16th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493270.0,1,16,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,18835.76,6923.94,25759.7,113.47,41.71,155.18,155.18,166.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4327629.600000001
2384.0,2624,164,2046144.0,141748.0,141748.0,2046144.0,2170.88,4659.2,2170.88,4659.2,6.0,0,15.0,15.0,1n-1m-16th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493274.0,1,16,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,18327.5,6750.99,25078.48,112.44,41.42,153.86,153.86,163.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4112870.7199999997
2384.0,2656,166,2046144.0,143964.0,143964.0,2046144.0,2170.88,4659.2,2170.88,4659.2,9.0,0,10.0,10.0,1n-1m-16th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493277.0,1,16,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,18357.54,6805.87,25163.41,111.94,41.5,153.44,153.44,164.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,4177126.06
0.0,360,18,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,13.0,0,0.0,0.0,1n-1m-20th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493280.0,1,20,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1769.3,639.08,2408.38,104.08,37.59,141.67,141.67,17.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,43350.840000000004
0.0,400,20,265352.0,1060.0,1060.0,265352.0,0.0,0.0,0.0,0.0,5349.0,0,0.0,0.0,1n-1m-20th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493282.0,1,20,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1881.37,677.7,2559.06,99.02,35.67,134.69,134.69,19.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6271,51181.2
0.0,440,22,265412.0,3208.0,3208.0,265412.0,0.0,0.0,0.0,0.0,71.0,0,0.0,0.0,1n-1m-20th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493320.0,1,20,100,198574,DENV_2-colombia-BVBRC_genome_sequence,2017.47,791.33,2808.81,96.07,37.68,133.75,133.75,21.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6243,61793.82
0.0,400,20,265412.0,1100.0,1100.0,265412.0,0.0,0.0,0.0,0.0,9.0,0,0.0,0.0,1n-1m-20th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493323.0,1,20,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1936.68,716.12,2652.8,107.59,39.78,147.38,147.38,18.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6243,53056.0
