AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Bootstrap,Processo p/ no,Thread p/ proc.,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
2135.0,2376,99,2816908.0,155532.0,155532.0,2816908.0,2283.52,4300.8,2283.52,4300.8,1.0,0,16.0,16.0,100bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369753.0,100,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,11667.76,3551.37,15219.14,120.29,36.61,156.9,156.9,97.0, sdumont6166,1506694.86
2136.0,2256,94,2588676.0,146348.0,146348.0,2588676.0,2263.04,4300.8,2263.04,4300.8,1.0,0,35.0,35.0,100bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369754.0,100,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,11213.68,3424.63,14638.31,120.58,36.82,157.4,157.4,93.0, sdumont6166,1376001.14
1421.0,2184,91,2594240.0,148884.0,148884.0,2594240.0,2058.24,4270.08,2058.24,4270.08,1.0,0,21.0,21.0,100bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369757.0,100,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,10694.43,3263.34,13957.77,118.83,36.26,155.09,155.09,90.0, sdumont6166,1270157.07
2132.0,2424,101,2588680.0,150544.0,150544.0,2588680.0,2263.04,4290.56,2263.04,4290.56,1.0,0,17.0,17.0,100bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369758.0,100,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,12090.18,3693.96,15784.15,120.9,36.94,157.84,157.84,100.0, sdumont6166,1594199.15
21514.0,21672,903,2594332.0,155020.0,155020.0,2594332.0,8048.64,5130.24,8048.64,5130.24,1.0,0,27.0,27.0,1000bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369759.0,1000,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,109246.41,33497.9,142744.31,121.12,37.14,158.25,158.25,902.0, sdumont6166,128898111.93
20802.0,21888,912,2594744.0,155740.0,155740.0,2594744.0,7577.6,5099.52,7577.6,5099.52,1.0,0,32.0,32.0,1000bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369766.0,1000,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,108979.58,33271.89,142251.47,121.49,37.09,158.59,158.59,897.0, sdumont6166,129733340.64
20800.0,21432,893,2594328.0,157004.0,157004.0,2594328.0,7843.84,5109.76,7843.84,5109.76,1.0,0,23.0,23.0,1000bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369770.0,1000,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,108415.97,33045.17,141461.14,121.54,37.05,158.59,158.59,892.0, sdumont6166,126324798.02
20793.0,21384,891,2817000.0,155844.0,155844.0,2817000.0,7843.84,5109.76,7843.84,5109.76,1.0,0,13.0,13.0,1000bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369775.0,1000,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,113018.43,37386.65,150405.07,126.99,42.01,168.99,168.99,890.0, sdumont6169,134010917.37
22188.0,22512,938,2817000.0,154392.0,154392.0,2817000.0,8325.12,5130.24,8325.12,5130.24,1.0,0,24.0,24.0,1000bs-1n-24th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369782.0,1000,1,24,484520,DENV_1-brazil-BVBRC_genome_sequence,119897.23,39186.19,159083.42,127.96,41.82,169.78,169.78,937.0, sdumont6169,149220247.96
2389.0,3600,120,2994340.0,152852.0,152852.0,2994340.0,2283.52,4280.32,2283.52,4280.32,1.0,0,267.0,267.0,100bs-1n-30th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369790.0,100,1,30,484520,DENV_1-brazil-BVBRC_genome_sequence,14000.98,9388.21,23389.19,117.66,78.89,196.55,196.55,119.0, sdumont6167,2806702.8
2663.0,3450,115,2994196.0,152780.0,152780.0,2994196.0,2263.04,4280.32,2263.04,4280.32,1.0,0,35.0,35.0,100bs-1n-30th-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,1,11369793.0,100,1,30,484520,DENV_1-brazil-BVBRC_genome_sequence,12965.29,8888.33,21853.62,113.73,77.97,191.7,191.7,114.0, sdumont6166,2513166.3
