AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
357.0,880,44,1439484.0,140924.0,138330.0,1657312.0,1208.32,4413.44,1280.0,4444.16,1.0,0,5.0,6.0,1n-2m-10th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529285.0,2,10,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4075.4,4531.66,8607.06,94.78,105.39,200.16,200.16,43.0, sdumont6168,378710.64
359.0,900,45,1439404.0,139076.0,137418.0,1657152.0,1392.64,4546.56,1720.32,4710.4,1.0,0,7.0,9.0,1n-2m-10th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529288.0,2,10,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4109.52,4562.38,8671.9,95.57,106.1,201.67,201.67,43.0, sdumont6168,390235.5
0.0,168,7,265352.0,4516.0,3800.0,265352.0,634.88,2129.92,1269.76,4270.08,1.0,0,0.0,0.0,1n-2m-12th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529290.0,2,12,100,187026,DENV_1-colombia-BVBRC_genome_sequence,406.69,470.03,876.72,101.67,117.51,219.18,219.18,4.0, sdumont6168,6137.04
0.0,168,7,265352.0,3960.0,3570.0,265352.0,614.4,2129.92,1228.8,4270.08,1.0,0,0.0,0.0,1n-2m-12th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529293.0,2,12,100,187026,DENV_1-colombia-BVBRC_genome_sequence,412.49,477.59,890.09,82.5,95.52,178.02,178.02,5.0, sdumont6168,6230.63
29.0,192,8,804670.0,131712.0,67476.0,1343988.0,573.44,2119.68,1136.64,4239.36,1.0,0,4.0,8.0,1n-2m-12th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529294.0,2,12,100,187026,DENV_1-colombia-BVBRC_genome_sequence,396.89,438.52,835.42,79.38,87.7,167.08,167.08,5.0, sdumont6165,6683.36
26.0,168,7,1024574.0,135008.0,69084.0,1783796.0,604.16,2129.92,1208.32,4270.08,1.0,0,157.0,315.0,1n-2m-12th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529296.0,2,12,100,187026,DENV_1-colombia-BVBRC_genome_sequence,320.39,328.17,648.56,45.77,46.88,92.65,92.65,7.0, sdumont6166,4539.92
0.0,168,7,265352.0,4484.0,3788.0,265352.0,624.64,2129.92,1259.52,4270.08,1.0,0,0.0,0.0,1n-2m-12th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529298.0,2,12,100,187026,DENV_1-colombia-BVBRC_genome_sequence,409.96,436.99,846.94,81.99,87.4,169.39,169.39,5.0, sdumont6166,5928.58
438.0,1104,46,1574560.0,141100.0,138516.0,1792336.0,1208.32,4413.44,1280.0,4444.16,1.0,0,7.0,10.0,1n-2m-12th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529299.0,2,12,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4345.4,4577.89,8923.29,98.76,104.04,202.8,202.8,44.0, sdumont6166,410471.34
436.0,1104,46,1574544.0,138936.0,138334.0,1792336.0,1208.32,4413.44,1280.0,4444.16,1.0,0,9.0,12.0,1n-2m-12th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529301.0,2,12,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4337.24,4558.04,8895.28,98.57,103.59,202.17,202.17,44.0, sdumont6166,409182.88
352.0,1104,46,1574544.0,138896.0,137378.0,1792336.0,1433.6,4546.56,1812.48,4730.88,1.0,0,4.0,10.0,1n-2m-12th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529302.0,2,12,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4422.89,4637.68,9060.56,100.52,105.4,205.92,205.92,44.0, sdumont6166,416785.76
335.0,1128,47,1574560.0,140064.0,139454.0,1796564.0,1402.88,4536.32,1751.04,4710.4,1.0,0,128.0,299.0,1n-2m-12th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529305.0,2,12,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,4248.47,4651.53,8899.99,94.41,103.37,197.78,197.78,45.0, sdumont6165,418299.53
